Name,Listing_type,Location,Rating,Host,Beds,DiscountedPrice,OriginalPrice,Latitude,Longitude,City,State,Country
The Barn,Entire chalet,Sevierville,8.7,Fabulous,2,0,361,35.8667112,-83.5620518,,Tennessee,United States
Crown Point Resort,2 entire apartment,Horseshoe Bend,9.2,Superb,2,0,238,36.2200685,-91.7474413,,Arkansas,United States
Fall River cozy apartment,Entire apartment,Fall River,7.9,Good,2,0,320,41.7010642,-71.1546367,Fall River,Massachusetts,United States
Renzzi Wynwood Apartments,Entire apartment,Miami,8.8,Fabulous,2,0,214,25.7741728,-80.19362,Miami,Florida,United States
Cozy Getaway at Lake O' the Pines,Entire holiday home,Ore City,9.5,Exceptional,2,0,388,32.8001354,-94.7207634,,Texas,United States
Moon River Suites #5,Entire holiday home,North Bend,9.6,Exceptional,4,0,266,47.4957757,-121.784889,,Washington,United States
"Rockaway Oceanview Retreat-Oceanviews,Steps to the beach & Downtown Rockaway, WiFi",Entire holiday home,Rockaway Beach,9.3,Superb,5,0,319,45.613598,-123.943147,,Oregon,United States
VHC Modern Apartments,Entire apartment,"South Beach, Miami Beach",8.1,Very good,4,0,343,25.7744291,-80.1332415,Miami Beach,Florida,United States
Dream 2 bedroom house with Canal View and Yard,Entire holiday home,North Miami,9.3,Superb,3,0,214,25.8900949,-80.1867138,,Florida,United States
Lake Hartwell Rental w/Dock,Entire holiday home,Fair Play,9.7,Exceptional,3,0,171,37.6300394,-93.5732585,,Missouri,United States
"Secluded Oasis w Hot Tub, Screened-in Porch, WiFi!",Entire vill,Berkeley Springs,8.7,Fabulous,2,0,0,39.6267975,-78.2279514,,West Virginia,United States
Zion Wildflower,2 entire bungalow,Virgin,9.2,Superb,2,0,304,37.201902,-113.1878542,,Utah,United States
Fairway Forest,2 private suite,Sapphire,8.4,Very good,2,0,0,41.0849899,29.005998304859514,,,Türkiye
Mountainside Villas at Massanutten by TripForth,Entire holiday home,McGaheysville,8.6,Fabulous,5,0,501,38.3712399,-78.7322449,,Virginia,United States
The Diamond Hideaway,Entire holiday home,Murfreesboro,9.3,Superb,4,0,0,35.8460396,-86.3921096,Murfreesboro,Tennessee,United States
Hilton Daytona Beach Resort,2 private suite,Daytona Beach,7.1,Good,2,0,339,29.2108147,-81.0228331,Daytona Beach,Florida,United States
The Club at New Seabury,Entire apartment,Mashpee,8.8,Fabulous,4,0,0,41.6484421,-70.4811383,,Massachusetts,United States
Litchfield Beach & Golf Resort,2 entire vill,Pawleys Island,7.5,Good,2,0,0,33.4293486,-79.1215912,,South Carolina,United States
Teton Valley Resort,2 private suite,Victor,8.9,Fabulous,2,0,0,41.7313887,-92.2979429,,Iowa,United States
Myrtlewood Condos,Entire vill,Myrtle Beach,7.6,Good,3,0,0,33.6956461,-78.8900409,Myrtle Beach,South Carolina,United States
La Isla South Padre Residences,Entire apartment,South Padre Island,8.5,Very good,3,0,0,26.1036887,-97.1646938,,Texas,United States
Aston At Poipu Kai,Private suite,"Poipu, Koloa",8.2,Very good,4,0,0,21.89046,-159.466,,Hawaii,United States
Hilton Suites Ocean City Oceanfront,2 private suite,"Midtown, Ocean City",8.8,Fabulous,2,0,0,38.3926679,-75.06488315,Ocean City,Maryland,United States
Meliá Orlando Celebration,Private suite,"Celebration, Orlando",8.4,Very good,1,0,0,28.5462415,-81.347551,Orlando,Florida,United States
Paradise at Canyon Lake,Entire holiday home,Canyon Lake,9.2,Superb,3,0,0,33.6836539,-117.262615,,California,United States
Sonder The Plymouth,Private suite,"Chicago Loop, Chicago",8.1,Very good,2,0,0,41.886493,-87.62012440000001,Chicago,Illinois,United States
Diamond Adventure Slope Side with Foosball and Arcade at Wintergreen Resort,Entire apartment,Wintergreen,,Exceptional,4,0,0,37.884862,-78.8994672,,Virginia,United States
Villas at Bahia Mar,Entire vill,South Padre Island,8.4,Very good,4,0,0,26.1036887,-97.1646938,,Texas,United States
Kasa Arlington Dallas,Entire apartment,Arlington,8.1,Very good,4,0,0,32.7355816,-97.1071186,Arlington,Texas,United States
Banyan Harbor Resort,Entire apartment,Lihue,8.1,Very good,3,0,0,21.9769622,-159.3687721,,Hawaii,United States
Exhibit A2,Entire apartment,Ann Arbor,8.7,Fabulous,3,0,0,42.2681569,-83.7312291,Ann Arbor,Michigan,United States
Summerspell Condominum,Entire apartment,"Miramar Beach, Destin",8.9,Fabulous,4,0,0,30.3776819,-86.3415734,,Florida,United States
Park Avenue Lofts,Entire holiday home,Freeport,8.2,Very good,3,0,0,42.2966861,-89.6212271,,Illinois,United States
Saida,Entire apartment,South Padre Island,8.5,Very good,4,0,0,26.1036887,-97.1646938,,Texas,United States
Sonder Lafayette Square,Private suite,"Downtown New Orleans, New Orleans",8.1,Very good,3,0,0,29.9504324,-90.07694881971895,New Orleans,Louisiana,United States
Beach Harbour 16 @ The Carolina Beach Boardwalk - Full Remodel!,Entire apartment,Carolina Beach,9.5,Exceptional,5,0,0,34.0351727,-77.8935966,,North Carolina,United States
Siena at Bella Collina,Entire apartment,Montverde,9.5,Exceptional,2,0,0,28.6002769,-81.673964,,Florida,United States
Royale Palms Condominiums,2 entire apartment,Myrtle Beach,8.3,Very good,2,0,0,33.6956461,-78.8900409,Myrtle Beach,South Carolina,United States
Flying Flags RV Resort & Campground,2 entire bungalow,Buellton,8.6,Fabulous,2,0,0,34.6134727,-120.193669,,California,United States
Sonder at Jackwill Flats,Private suite,San Diego,8.2,Very good,2,0,0,32.7174202,-117.1627728,San Diego,California,United States
1815 A Slice of Heaven Destin - Pool & Ocean View,Entire apartment,Destin,9.6,Exceptional,3,0,0,30.3935337,-86.4957834,,Florida,United States
Beaver Village by Stay WinterPark,Entire apartment,Winter Park,8.3,Very good,3,0,0,28.5977707,-81.3510264,,Florida,United States
Classic CWE 2BR with Full Kitchen by Zencity,Entire apartment,Tower Grove,8.0,Very good,2,0,0,38.6225517,-90.2662246,Saint Louis,Missouri,United States
ROOST Cleveland,Private suite,"Downtown Cleveland, Cleveland",9.5,Exceptional,2,0,0,35.14023735,-97.39468693478696,,Oklahoma,United States
Florence,Entire apartment,South Padre Island,8.2,Very good,4,0,0,26.1036887,-97.1646938,,Texas,United States
Brook Road Inn,Private suite,Goshen,8.1,Very good,3,0,0,41.5824086,-85.834366,,Indiana,United States
Bay Club Resort,Entire apartment,"Midtown, Ocean City",7.3,Good,4,0,0,38.3926679,-75.06488315,Ocean City,Maryland,United States
SLS South Beach,2 entire vill,"South Beach, Miami Beach",7.2,Good,2,0,0,25.7744291,-80.1332415,Miami Beach,Florida,United States
The Penthouse at Grand Plaza,Entire apartment,"River North, Chicago",9.2,Superb,3,0,0,41.899123200000005,-87.64091641045113,Chicago,Illinois,United States
Nice cozy townhouse,Entire holiday home,Bushkill,9.2,Superb,4,0,0,41.093429,-75.0018401,Lehman Township,Pennsylvania,United States
Sea Vista,Entire apartment,South Padre Island,8.0,Very good,4,0,0,26.1036887,-97.1646938,,Texas,United States
Ski in/out Spruce Glen Townhomes on Great Eastern Trail,Entire holiday home,Killington,9.2,Superb,4,0,0,43.67433,-72.7784445,,Vermont,United States
Beary Patch Hill,Entire holiday home,Sevierville,8.8,Fabulous,2,0,0,35.8667112,-83.5620518,,Tennessee,United States
Marina Inn at Grande Dunes,2 entire studio,Myrtle Beach,8.8,Fabulous,2,972,0,33.6956461,-78.8900409,Myrtle Beach,South Carolina,United States
414 Waldburg A · Newly Renovated Apt with outdoor space!,Entire apartment,"Downtown Savannah, Savannah",8.5,Very good,3,1370,0,32.075281950000004,-81.0984566550849,Savannah,Georgia,United States
Sonder Bouldin Creek,Private suite,"South Austin, Austin",8.6,Fabulous,4,936,0,41.8708988,-87.7767955,,Illinois,United States
Ocean Reef 2 bedroom/2 bath!,Entire apartment,Panama City Beach,8.3,Very good,3,595,0,30.1765914,-85.805386,,Florida,United States
Sonder The Esplanade,Private suite,"Faubourg Marigny, New Orleans",7.7,Good,2,1091,0,29.965759,-90.054238,New Orleans,Louisiana,United States
Sugar Shack by Big Bear Cool Cabins,Entire holiday home,Sugarloaf,9.0,Superb,2,2479,0,-36.17525415,175.1122321367032,Aotea Great Barrier,Auckland,New Zealand / Aotearoa
Abode Los Angeles - Downtown Historic Core,Entire apartment,"Downtown Los Angeles, Los Angeles",8.0,Very good,3,1466,0,34.0428494,-118.2476732,Los Angeles,California,United States
"Hampton 6107, 2 Bedroom, Sleeps 6, Large Pool, Oceanfront View",Entire apartment,Hilton Head Island,8.8,Fabulous,3,864,0,32.1618488,-80.7512616,,South Carolina,United States
Luxurious 2Bedroom 2Bath minutes from the water,Entire apartment,Pensacola,9.3,Superb,2,545,0,30.421309,-87.2169149,Pensacola,Florida,United States
ATL Downtown! City View! Onsite Parking! POOL! LM1K1Q,Entire apartment,"Downtown Atlanta, Atlanta",7.3,Good,2,805,0,33.7543408,-84.3870791,Atlanta,Georgia,United States
Coco Bay Luxury Condos,Entire apartment,Fort Lauderdale,8.9,Fabulous,3,1931,0,26.1223084,-80.1433786,Fort Lauderdale,Florida,United States
Sonder The Bywater,Private suite,New Orleans,8.8,Fabulous,2,1091,0,29.9759983,-90.0782127,New Orleans,Louisiana,United States
The Cliff House - Lincoln City,Entire holiday home,Lincoln City,,Exceptional,2,2238,0,44.9617922,-124.0159522,,Oregon,United States
Greeter Falls Lodge Cottage #7,Entire holiday home,Beersheba Springs,,Exceptional,3,575,0,35.4667379,-85.6541419,,Tennessee,United States
Country Cottage,Entire holiday home,Big Bear City,7.5,Good,4,1860,0,34.267886,-116.84859785319148,,California,United States
ICON Brickell residences,Entire apartment,"Brickell, Miami",7.7,Good,3,1655,0,25.7637907,-80.1954604,Miami,Florida,United States
Tradewinds Unit 406,Entire apartment,Orange Beach,7.9,Good,4,623,0,30.282839799999998,-87.62460710389821,Orange Beach,Alabama,United States
Moon River Suites #3,Entire holiday home,North Bend,9.5,Exceptional,3,1437,0,47.4957757,-121.784889,,Washington,United States
"Puppies Hollow, 2 Bedrooms, Pets, WiFi, Pool Access, Fireplace, Sleeps 4",Entire holiday home,Gatlinburg,7.3,Good,3,1133,0,35.714259,-83.5101638,,Tennessee,United States
Kasa Downtown Louisville,Entire apartment,"Downtown Louisville, Louisville",7.3,Good,4,0,0,38.24084425,-85.75478029351535,Louisville,Kentucky,United States
Downtown ATL Condo w Pool King Bed LM1K2T,Entire apartment,"Downtown Atlanta, Atlanta",7.9,Good,3,0,202,33.7543408,-84.3870791,Atlanta,Georgia,United States
Luxurious Highrise 2b 2b Apartment Heart Of Downtown LA,Entire apartment,"Downtown Los Angeles, Los Angeles",8.4,Very good,3,0,298,34.0428494,-118.2476732,Los Angeles,California,United States
"Downtown Saugatuck Condo, Near Oval Beach!",Entire apartment,Saugatuck,7.9,Good,2,0,632,42.6549244,-86.2040552,,Michigan,United States
"Ocean Village Club R11, 2 Bedrooms, Sleeps 6, 2 Pools, WiFi",Entire apartment,St. Augustine,8.5,Very good,3,0,236,29.8946952,-81.3145395,,Florida,United States
Bourbon Street Condos,Entire apartment,"Faubourg Marigny, New Orleans",7.8,Good,4,0,394,29.965759,-90.054238,New Orleans,Louisiana,United States
Crystal Shores West 202,Entire apartment,Gulf Shores,8.4,Very good,3,0,0,30.2711224,-87.6893826,,Alabama,United States
Fantastic Philly Fully Furnished Apartments,Entire apartment,"Philadelphia City Center, Philadelphia",7.2,Good,3,0,205,39.9525541,-75.15202163851058,Philadelphia,Pennsylvania,United States
Sun and Sea by Beachside Management,Entire vill,Siesta Key,8.6,Fabulous,4,0,0,27.275596,-82.5561626939674,,Florida,United States
Montgomery House,Entire apartment,New Orleans,8.5,Very good,2,0,294,29.9759983,-90.0782127,New Orleans,Louisiana,United States
"Sleeps 6! 2 Bedrm, Gym, Close to Major Attractions",Entire apartment,"South Philadelphia, Philadelphia",8.2,Very good,3,0,265,39.9255456,-75.1694641,Philadelphia,Pennsylvania,United States
Nana's Cottage Retreat,Entire holiday home,Big Bear City,9.0,Superb,3,0,234,34.267886,-116.84859785319148,,California,United States
Islander Bayside Villas & Boatslips,2 entire apartment,Islamorada,8.6,Fabulous,2,0,191,24.9236561,-80.6291479,,Florida,United States
Bearly Gnomey,Entire chalet,Gatlinburg,9.0,Superb,2,0,620,35.714259,-83.5101638,,Tennessee,United States
"Hang Ten Hideaway Oceanview, pool, Condo, Parking",Entire holiday home,Carolina Beach,8.0,Very good,5,0,236,34.0351727,-77.8935966,,North Carolina,United States
Rincon Cabin,Entire holiday home,Big Bear Lake,9.2,Superb,2,0,238,34.2440587,-116.91018,,California,United States
Downtown Musical Getaway,Entire apartment,"Downtown Houston, Houston",9.1,Superb,1,0,0,29.75831015,-95.36294195965999,Houston,Texas,United States
Kasa Love Field-Medical District Dallas,Entire apartment,Dallas,7.9,Good,4,0,0,32.7762719,-96.7968559,Dallas,Texas,United States
Vivant - Spacious 2BR King Bed Suites Close to Downtown and Airport,Entire apartment,Austin,9.8,Exceptional,3,0,1127,30.2711286,-97.7436995,Austin,Texas,United States
Play All Day - Sleep By The Stream at Night - Swimming Hole,Entire apartment,Palenville,9.0,Superb,3,0,0,42.1745334,-74.0201355,,New York,United States
Atlanta Downtown! High Rise! Onsite Parking LM609,Entire apartment,"Downtown Atlanta, Atlanta",8.6,Fabulous,3,0,0,33.7543408,-84.3870791,Atlanta,Georgia,United States
Starfish Point,Entire apartment,Newport,9.7,Exceptional,3,0,0,41.4899827,-71.3137707,Newport,Rhode Island,United States
The Historic Divine Lorraine Apartments,Entire apartment,Philadelphia,8.7,Fabulous,5,0,0,39.9527237,-75.1635262,Philadelphia,Pennsylvania,United States
Beach Drive Suites,Entire apartment,Seaside,8.4,Very good,2,0,0,36.62593,-121.8169383456945,Seaside,California,United States
@ Marbella Lane - 10 Acres Oasis Desert Retreat!,Entire holiday home,Joshua Tree,8.9,Fabulous,2,0,0,34.1265262,-116.32093491214893,,California,United States
Tradewinds 307,Entire apartment,Orange Beach,7.8,Good,3,0,0,30.282839799999998,-87.62460710389821,Orange Beach,Alabama,United States
Modern 2BR 3BA Condo on the Boardwalk by CozySuites,Entire apartment,Atlantic City,8.8,Fabulous,3,0,0,39.3642852,-74.4229351,Atlantic City,New Jersey,United States
Breathtaking Appartment in the heart of marina Del Rey/ Venice Beach,Entire apartment,"Marina Del Rey, Los Angeles",8.1,Very good,4,0,0,33.9776848,-118.448647,,California,United States
Waldorf Astoria Monarch Beach Resort & Club,2 entire studio,Dana Point,8.9,Fabulous,2,0,0,33.4669721,-117.6981075,,California,United States
Renu at Jacksonville,Entire apartment,Jacksonville,8.1,Very good,3,0,0,30.3321838,-81.655651,Jacksonville,Florida,United States
"Ocean Village Club G21, 2 Bedrooms, Heated Pool, Sleeps 4, Pet Friendly",Entire apartment,St. Augustine,8.3,Very good,3,0,0,29.8946952,-81.3145395,,Florida,United States
Atlanta Furnished Apartments - Great location in the Heart of the City,Entire apartment,"Buckhead - North Atlanta, Atlanta",8.3,Very good,3,0,0,33.8334,-84.3785,Atlanta,Georgia,United States
Unforgettable Vacation Experience at Ocean Forest Villas,Private suite,Myrtle Beach,7.9,Good,4,0,0,33.6956461,-78.8900409,Myrtle Beach,South Carolina,United States
The White House,Entire holiday home,West Palm Beach,9.2,Superb,3,0,0,26.715364,-80.0532942,West Palm Beach,Florida,United States
Meadow View Chalet-1632 by Big Bear Vacations,Entire holiday home,Big Bear City,7.5,Good,4,0,0,34.267886,-116.84859785319148,,California,United States
Sweet Blue Spruce,Entire holiday home,Big Bear Lake,8.0,Very good,3,0,0,34.2440587,-116.91018,,California,United States
2 Bedroom Elegant condos in Downtown New Orleans,Entire apartment,"Downtown New Orleans, New Orleans",8.1,Very good,3,0,0,29.9504324,-90.07694881971895,New Orleans,Louisiana,United States
Elegant Cottage with Wonderful Views near FH Lake,Entire apartment,Show Low,9.3,Superb,3,0,0,34.2542084,-110.029832,Show Low,Arizona,United States
Margaritaville Cottages Orlando by Rentyl,Entire apartment,"Celebration, Orlando",8.3,Very good,3,0,0,28.5462415,-81.347551,Orlando,Florida,United States
Stylish Warehouse Apartments,Entire apartment,"Arts- Warehouse District, New Orleans",9.0,Superb,2,0,0,29.9439013,-90.06496413282588,New Orleans,Louisiana,United States
Chateau 17,Entire apartment,Hammond,9.8,Exceptional,1,0,0,41.5833658,-87.500043,,Indiana,United States
StayOvr at LegacyWest,Entire apartment,"Legacy West, Plano",8.7,Fabulous,2,0,0,33.0808813,-96.82621945349385,Plano,Texas,United States
A Lovely Cabin House at Way Woods Retreat with Outdoor Hot Tub!,Entire holiday home,Foresthill,9.3,Superb,4,0,0,39.0019935,-120.82540181422367,,California,United States
Fabulous Cottages with City Views,Entire apartment,"Central City, New Orleans",8.1,Very good,3,0,255,29.9461665,-90.0784417,New Orleans,Louisiana,United States
The West Gem,Entire apartment,"South Beach, Miami Beach",8.0,Very good,4,0,0,25.7744291,-80.1332415,Miami Beach,Florida,United States
New Ocean Front Corner Unit,Entire apartment,"Downtown Myrtle Beach, Myrtle Beach",8.3,Very good,3,0,0,33.6945202,-78.8835706,Myrtle Beach,South Carolina,United States
2 bedroom w/ upstairs balcony attached to Master,Entire holiday home,Houston,8.1,Very good,3,0,0,29.7589382,-95.3676974,Houston,Texas,United States
Atlantic Ocean Suites,Private suite,Old Orchard Beach,8.7,Fabulous,3,0,334,43.517684,-70.377731,,Maine,United States
Ariel Dunes II 602,Entire apartment,"Miramar Beach, Destin",8.9,Fabulous,1,0,245,30.3776819,-86.3415734,,Florida,United States
2BR 3BA Ocean Front condo on the Boardwalk CozySuites,Entire apartment,Atlantic City,8.6,Fabulous,5,0,394,39.3642852,-74.4229351,Atlantic City,New Jersey,United States
"Beachfront Destin Condo with Pool, Harbor View!",Entire apartment,Destin,8.5,Very good,2,0,0,30.3935337,-86.4957834,,Florida,United States
The Raspberry Garden,Entire apartment,Rexburg,8.7,Fabulous,2,0,0,43.8235163,-111.787022,Rexburg,Idaho,United States
Modern Home nearby Airport,Entire holiday home,Conley,9.5,Exceptional,3,0,0,33.6448311,-84.3257571,,Georgia,United States
Luxury Downtown Dallas Stay by Amyfinehouse,Entire apartment,"Downtown Dallas, Dallas",8.0,Very good,3,683,0,32.7797876,-96.7980118,Dallas,Texas,United States
New Waterfront Bungalow - Fishermans Paradise - Bungalow Tarvana,Entire holiday home,South Padre Island,,Exceptional,1,629,0,26.1036887,-97.1646938,,Texas,United States
"River Access Cabin Hot Tub, WiFi, Huge Deck&Grill",Entire vill,Luray,7.9,Good,2,1749,0,48.7201659,1.3972981,,Centre-Val de Loire,France
1549 North Maplewood Avenue,Entire apartment,"Wicker Park, Chicago",8.6,Fabulous,3,654,0,41.9078018,-87.6781551,Chicago,Illinois,United States
Brown Bears Cabin-1091 by Big Bear Vacations,Entire holiday home,Big Bear Lake,8.8,Fabulous,3,1725,0,34.2440587,-116.91018,,California,United States
La Isla Residences Luxury Condominiums,Entire apartment,South Padre Island,7.8,Good,4,1091,0,26.1036887,-97.1646938,,Texas,United States
WALK TO NRG-CITY VIEW BALCONY- FREE PARKING-2bdrm near NRG-Med Center-Galleria-Downtown,Entire apartment,Houston,9.4,Superb,1,326,0,29.7589382,-95.3676974,Houston,Texas,United States
Marbella Towers High Floor Wonderful Condos,Entire apartment,Sunny Isles Beach,9.0,Superb,5,2873,0,25.9426915,-80.1218486,,Florida,United States
The Van Zant House,Entire holiday home,Jacksonville,8.8,Fabulous,3,424,0,30.3321838,-81.655651,Jacksonville,Florida,United States
Boardwalk 2BR 3BA Condo CozySuites at Showboat,Entire apartment,Atlantic City,9.3,Superb,5,664,0,39.3642852,-74.4229351,Atlantic City,New Jersey,United States
New Luxury Loft #12 Near Resort With Huge Hot Tub & Views - FREE Activities & Equipment Rentals Daily,Entire holiday home,Winter Park,9.7,Exceptional,5,3803,0,28.5977707,-81.3510264,,Florida,United States
Water View Home,Entire apartment,Seattle,9.5,Exceptional,3,1231,0,47.6038321,-122.330062,Seattle,Washington,United States
"Luxury 3 Bedroom, 20 min to Boston, 15min Encore",Entire apartment,Malden,7.0,Good,2,807,0,42.4250964,-71.066163,,Massachusetts,United States
Quaint cabin near many attractions w/ private dock,Entire apartment,Newaygo,8.2,Very good,3,445,0,43.5121225,-85.7944976,,Michigan,United States
"A Lovely 2 bedroom 2 full Bath Apartment Unit with Desk and Den, Rental Car Available",Entire apartment,"Westchase, Houston",9.1,Superb,2,495,0,29.730322299999997,-95.56245837420101,Houston,Texas,United States
"Magnolia North 2BR Condo w Pool, Near Beach and Golf",Entire apartment,Myrtle Beach,8.8,Fabulous,4,414,0,33.6956461,-78.8900409,Myrtle Beach,South Carolina,United States
Kasa Downtown South Bend,Entire apartment,South Bend,8.0,Very good,4,619,0,41.6833813,-86.2500066,South Bend,Indiana,United States
The Georgia Peach -near Plant Riverside & downtown,Entire apartment,"Downtown Savannah, Savannah",,Exceptional,2,1690,0,32.075281950000004,-81.0984566550849,Savannah,Georgia,United States
Huge Beachfront Condo CozySuites at Showboat,Entire apartment,Atlantic City,8.6,Fabulous,5,664,0,39.3642852,-74.4229351,Atlantic City,New Jersey,United States
The Current I Sextant,Entire apartment,Miami Beach,8.2,Very good,4,1820,0,25.7929198,-80.1353006,Miami Beach,Florida,United States
Modern spacious home with Pool/Ping pong table in Midtown Atlanta !,Entire apartment,Atlanta,,Exceptional,3,603,0,33.7489924,-84.3902644,Atlanta,Georgia,United States
Azure Smart Hub near Med CTR & NRG,Entire apartment,"Medical Center, Houston",9.0,Superb,2,510,266,29.7026477,-95.39593537088199,Houston,Texas,United States
The Pearl Of Detroit/10 Minutes To Down Town,Entire apartment,Detroit,7.6,Good,3,654,0,42.3315509,-83.0466403,Detroit,Michigan,United States
Villa 5,Entire apartment,Hammond,9.8,Exceptional,3,837,423,41.5833658,-87.500043,,Indiana,United States
"Sea Place 11208, 2 Bedrooms, Sleeps6, Tennis, Ocean Front, Pool, WiFi",Entire apartment,St. Augustine,9.2,Superb,4,1433,0,29.8946952,-81.3145395,,Florida,United States
Greeter Falls Lodge Cottage #6,Entire holiday home,Altamont,9.6,Exceptional,3,575,0,37.1903448,-95.2971928,,Kansas,United States
Luxe Ocean Front Condo CozySuites at Showboat,Entire apartment,Atlantic City,8.0,Very good,5,664,0,39.3642852,-74.4229351,Atlantic City,New Jersey,United States
Cloud Nine Cottage,Entire holiday home,Big Lake,9.1,Superb,3,645,0,31.1954739,-101.4592746,,Texas,United States
Beach Block Parking Modern Decor Porch,Entire apartment,Brigantine,9.5,Exceptional,3,904,0,39.4101171,-74.3645906,,New Jersey,United States
Crystal Tower 1506,Entire apartment,Gulf Shores,8.3,Very good,3,497,0,30.2711224,-87.6893826,,Alabama,United States
Hosteeva Atlantica Beachfront Condo,Entire apartment,Myrtle Beach,8.1,Very good,4,649,0,33.6956461,-78.8900409,Myrtle Beach,South Carolina,United States
Hacienda del Sol II - 404,Entire holiday home,New Smyrna Beach,9.6,Exceptional,4,897,0,29.0258132,-80.9271271,New Smyrna Beach,Florida,United States
Desert Gardens #3,Entire holiday home,Moab,9.5,Exceptional,2,1675,0,38.5738096,-109.546214,Moab,Utah,United States
The Dawn Oceanfront Bliss on Famous Seawall Blvd,Entire apartment,"West End, Galveston",9.2,Superb,3,1237,0,29.14535815,-95.04689286859056,Galveston,Texas,United States
"Villa Serenity, Pet Friendly",Entire holiday home,Panama City Beach,8.1,Very good,1,1067,0,30.1765914,-85.805386,,Florida,United States
